Date,Domestic,Foreign,Total
01-01-2005,14245,721,14966
01-02-2005,16100,1082,17182
01-03-2005,26100,2280,28380
01-04-2005,43702,2198,45900
01-05-2005,70744,1351,72095
01-06-2005,30480,611,31091
01-07-2005,13760,372,14132
01-08-2005,14382,625,15007
01-09-2005,22738,991,23729
01-10-2005,35396,3053,38449
01-11-2005,33480,2313,35793
01-12-2005,26523,921,27444
01-01-2006,17887,789,18676
01-02-2006,18550,1262,19812
01-03-2006,41593,1981,43574
01-04-2006,61084,3124,64208
01-05-2006,80052,1445,81497
01-06-2006,32912,488,33400
01-07-2006,17268,471,17739
01-08-2006,20628,741,21369
01-09-2006,25028,1372,26400
01-10-2006,39834,2961,42795
01-11-2006,35899,2198,38097
01-12-2006,31208,1217,32425
01-01-2007,22286,866,23152
01-02-2007,23465,1286,24751
01-03-2007,47465,2225,49690
01-04-2007,70684,2386,73070
01-05-2007,86448,1058,87506
01-06-2007,34025,631,34656
01-07-2007,19462,549,20011
01-08-2007,21428,811,22239
01-09-2007,25295,1230,26525
01-10-2007,43218,3106,46324
01-11-2007,38215,2471,40686
01-12-2007,33213,1218,34431
01-01-2008,24035,910,24945
01-02-2008,26098,1106,27204
01-03-2008,51018,2406,53424
01-04-2008,76539,2411,78950
01-05-2008,99625,1857,101482
01-06-2008,35172,393,35565
01-07-2008,22010,453,22463
01-08-2008,22628,864,23492
01-09-2008,26910,1330,28240
01-10-2008,49456,3386,52842
01-11-2008,43018,2867,45885
01-12-2008,35864,1171,37035
01-01-2009,30395,696,31091
01-02-2009,35883,1053,36936
01-03-2009,55965,2184,58149
01-04-2009,85669,2544,88213
01-05-2009,108778,1335,110113
01-06-2009,63905,429,64334
01-07-2009,26992,646,27638
01-08-2009,35826,846,36672
01-09-2009,41285,1275,42560
01-10-2009,44865,2925,47790
01-11-2009,43720,2406,46126
01-12-2009,42345,1391,43736
01-01-2010,40160,984,41144
01-02-2010,48420,1320,49740
01-03-2010,60560,2605,63165
01-04-2010,87172,3036,90208
01-05-2010,116641,1593,118234
01-06-2010,68236,830,69066
01-07-2010,27021,680,27701
01-08-2010,37180,979,38159
01-09-2010,53624,1678,55302
01-10-2010,59582,2780,62362
01-11-2010,48764,2410,51174
01-12-2010,52651,1862,54513
01-01-2011,42314,1436,43750
01-02-2011,50652,1065,51717
01-03-2011,62438,2423,64861
01-04-2011,89238,2615,91853
01-05-2011,124323,2875,127198
01-06-2011,69784,643,70427
01-07-2011,29540,553,30093
01-08-2011,38964,873,39837
01-09-2011,13943,1415,15358
01-10-2011,9682,4286,13968
01-11-2011,8326,3323,11649
01-12-2011,13249,2438,15687
01-01-2012,28560,1904,30464
01-02-2012,29642,2406,32048
01-03-2012,45231,3199,48430
01-04-2012,65341,3939,69280
01-05-2012,120212,2058,122270
01-06-2012,65673,1152,66825
01-07-2012,18628,1282,19910
01-08-2012,35294,1048,36342
01-09-2012,12678,1432,14110
01-10-2012,42390,4486,46876
01-11-2012,39602,2300,41902
01-12-2012,55287,1283,56570
01-01-2013,30292,873,31165
01-02-2013,31278,1247,32525
01-03-2013,48102,2524,50626
01-04-2013,69054,4895,73949
01-05-2013,131804,1312,133116
01-06-2013,68205,804,69009
01-07-2013,17161,563,17724
01-08-2013,7713,2579,10292
01-09-2013,20115,3942,24057
01-10-2013,50461,5292,55753
01-11-2013,42836,3210,46046
01-12-2013,59728,4457,64185
01-01-2014,28824,4145,32969
01-02-2014,19830,3803,23633
01-03-2014,24597,5211,29808
01-04-2014,63730,2855,66585
01-05-2014,92199,4927,97126
01-06-2014,85763,3939,89702
01-07-2014,19472,2496,21968
01-08-2014,11875,1429,13304
01-09-2014,25478,2410,27888
01-10-2014,75025,8906,83931
01-11-2014,53275,5537,58812
01-12-2014,62350,3517,65867
01-01-2015,55236,3458,58694
